País,Periodo,Gobierno
República Dominicana,(2004 - 2012),Leonel Fernández Reyna
Panamá,(2009 - 2014),Ricardo Martinelli Berrocal
Venezuela,(1999 - 2013),Hugo Chávez Frías
Perú,(2001 - 2006),Alejandro Toledo Manrique
Ecuador,(2007 - 2017),Rafael Correa Delgado
Perú,(2011 - 2016),Ollanta Humala Tasso
Panamá,(2004  2009),Martín Torrijos Espino
Panamá,(2014 - Actualidad),Juan Carlos Varela
México,(2012 - Actualidad),Enrique Peña Nieto
Perú,(2006 - 2011),Alan García Perez
República Dominicana,(2012 - Actualidad),Danilo Medina
Argentina,(2007 - 2015),Cristina Fernández de Kirchner
República Dominicana,(2000 - 2004),Hipólito Mejía Domínguez
México,(2000 - 2006),Vicente Fox Quesada
Guatemala,(2012 - 2015),Otto Pérez Molina
Argentina,(2003 - 2007),Nestor Kirchner
Colombia,(2010 - Actualidad),Juan Manuel Santos
Mozambique,(2005 - 2015),Armando Guebuza
Colombia,(2002 - 2010),Alávaro Uribe Vélez
